area_sqft,bedrooms,bathrooms,age_years,neighborhood,has_garage,price
1402.0,3,2,33,central,no,247595.0
524.0,4,1,53,north,no,77204.0
,4,3,4,central,no,463691.0
2222.0,4,2,3,west,yes,382244.0
3644.0,2,1,24,east,no,537222.0
1463.0,5,2,25,north,yes,285092.0
1690.0,4,1,58,east,yes,287975.0
3798.0,3,1,5,south,no,528776.0
3253.0,4,3,53,south,yes,455217.0
,5,3,59,south,no,239889.0
1779.0,1,2,55,west,yes,233417.0
1052.0,1,1,19,central,no,194940.0
2550.0,2,2,56,south,yes,330793.0
3197.0,1,2,1,central,no,487741.0
2474.0,4,3,14,east,no,380396.0
561.0,4,2,39,west,no,125193.0
1297.0,4,3,53,west,no,273091.0
2365.0,4,1,6,east,yes,385704.0
1832.0,3,1,25,west,no,303687.0
1962.0,4,2,40,south,yes,346321.0
2214.0,3,1,0,west,no,325467.0
3002.0,1,2,35,south,no,410439.0
890.0,2,2,9,west,no,180756.0
644.0,3,3,52,north,yes,146981.0
3275.0,2,3,19,central,yes,513298.0
3413.0,5,2,5,north,no,560761.0
1240.0,4,3,13,south,yes,297551.0
,3,1,51,west,yes,529708.0
966.0,5,2,50,south,yes,226640.0
587.0,5,3,40,north,no,187195.0
1509.0,1,1,30,west,yes,226322.0
1292.0,2,1,46,south,yes,197630.0
2200.0,5,1,56,central,yes,327510.0
1212.0,5,3,9,south,no,218457.0
1076.0,5,1,39,south,no,190465.0
2628.0,4,1,9,south,no,374566.0
1529.0,4,1,11,central,yes,319309.0
1602.0,5,2,11,south,yes,312049.0
1509.0,1,1,28,south,yes,249754.0
1796.0,2,2,25,north,no,275658.0
2850.0,2,1,46,north,no,412755.0
2831.0,4,3,14,south,yes,435282.0
3248.0,4,1,56,south,yes,455447.0
3618.0,1,1,13,east,no,437524.0
1621.0,5,1,51,west,no,253093.0
,3,2,48,south,yes,464331.0
3107.0,3,3,20,central,yes,495215.0
514.0,3,3,29,central,yes,172042.0
1980.0,5,2,7,central,no,412289.0
3430.0,4,2,43,west,yes,500800.0
3590.0,4,1,34,west,yes,509170.0
1699.0,3,2,59,west,no,229099.0
2371.0,4,1,30,central,yes,380057.0
2411.0,1,1,53,west,yes,330409.0
3325.0,2,1,36,west,yes,460454.0
580.0,3,1,7,east,no,132587.0
1765.0,1,3,8,east,yes,300532.0
3517.0,1,2,24,south,yes,433866.0
547.0,5,2,37,north,yes,177762.0
2572.0,2,1,43,west,yes,386626.0
3609.0,1,1,15,south,yes,495481.0
945.0,3,1,22,north,no,200117.0
721.0,3,1,44,central,no,165810.0
3352.0,4,3,5,north,no,525667.0
3334.0,1,3,12,west,no,503821.0
1919.0,2,3,4,south,no,323115.0
792.0,1,3,59,central,no,180044.0
825.0,3,1,51,west,yes,111105.0
1245.0,4,2,15,central,no,309905.0
501.0,3,3,38,central,yes,156776.0
3505.0,3,1,43,east,yes,489805.0
3284.0,3,3,46,north,no,431509.0
2994.0,3,1,9,east,yes,456629.0
900.0,4,2,50,west,yes,192705.0
1994.0,3,1,30,west,no,249649.0
2659.0,5,3,3,east,yes,460354.0
1089.0,5,2,26,central,yes,302911.0
968.0,1,1,8,south,no,151415.0
3684.0,2,1,9,south,yes,499820.0
3321.0,3,3,10,south,yes,503830.0
1433.0,5,1,57,west,no,230704.0
1452.0,2,3,23,north,yes,286737.0
731.0,4,3,6,central,no,249501.0
713.0,5,2,44,south,no,131339.0
,4,2,57,south,yes,528218.0
1469.0,3,2,52,central,no,264084.0
2382.0,1,2,57,east,no,283120.0
2880.0,5,2,49,east,no,415851.0
1438.0,2,3,44,east,no,218775.0
2693.0,5,1,16,central,yes,459243.0
2749.0,1,2,39,west,yes,428914.0
3203.0,5,3,19,south,no,493257.0
1080.0,5,1,22,east,yes,214191.0
3901.0,3,2,0,east,no,562359.0
2514.0,1,1,52,central,no,338985.0
1106.0,4,3,1,west,no,224115.0
967.0,4,1,39,south,yes,158561.0
3855.0,2,3,49,west,no,503240.0
3543.0,4,2,47,south,yes,510816.0
504.0,4,1,31,north,no,117519.0
2806.0,4,1,56,west,yes,427885.0
2748.0,3,2,4,central,no,463564.0
2249.0,4,1,32,north,yes,343939.0
,2,2,48,north,yes,501462.0
1857.0,1,1,59,south,yes,258524.0
1598.0,1,1,30,east,no,242964.0
1567.0,2,3,6,central,yes,319052.0
3588.0,2,1,48,north,no,463807.0
2574.0,2,1,53,south,no,320882.0
2425.0,5,3,0,north,no,452090.0
3313.0,5,2,34,south,yes,486347.0
1449.0,1,1,11,north,no,252826.0
,1,3,26,north,yes,381822.0
2697.0,2,3,3,west,no,431816.0
,4,1,18,south,yes,533532.0
1719.0,3,1,41,east,no,221110.0
3927.0,5,3,34,east,no,581342.0
1529.0,1,2,4,north,yes,256511.0
2989.0,4,2,38,central,no,455107.0
3773.0,3,1,54,north,no,465964.0
2696.0,3,2,7,west,no,421791.0
2962.0,2,2,40,west,no,429445.0
1702.0,1,3,21,north,yes,274866.0
3845.0,2,1,18,south,yes,540492.0
,4,2,36,north,no,422840.0
3446.0,1,3,37,east,no,443985.0
2429.0,2,2,31,north,yes,311477.0
504.0,4,2,45,east,no,136899.0
2668.0,1,2,7,south,yes,425393.0
500.0,4,3,19,east,no,147390.0
900.0,1,2,57,north,no,106426.0
2509.0,2,3,37,north,no,381903.0
3625.0,3,1,55,west,yes,466900.0
2780.0,2,2,18,north,yes,417702.0
1000.0,1,2,33,north,yes,177083.0
,2,2,54,south,yes,534473.0
2038.0,4,2,55,south,no,267569.0
762.0,5,2,33,west,yes,215301.0
1307.0,1,2,29,south,no,170054.0
582.0,1,3,36,north,yes,117469.0
2635.0,4,2,39,south,yes,415524.0
1736.0,2,2,17,central,yes,336351.0
2041.0,2,3,35,central,yes,398926.0
2863.0,5,2,15,central,yes,488645.0
3973.0,5,1,36,south,no,571680.0
3761.0,5,3,16,north,no,608773.0
2428.0,3,3,39,south,no,359751.0
2419.0,2,2,23,north,no,346671.0
,3,1,10,north,no,306650.0
3030.0,4,1,30,west,yes,438613.0
1082.0,1,2,21,west,yes,204389.0
2662.0,2,3,26,central,yes,445093.0
3161.0,5,1,8,central,yes,517172.0
2462.0,4,3,4,north,no,392937.0
1766.0,5,3,44,south,no,270458.0
2402.0,4,1,13,east,yes,397748.0
2061.0,3,1,3,central,no,355406.0
1873.0,4,2,47,north,yes,314369.0
,2,2,23,east,yes,485030.0
1766.0,3,3,53,south,no,255512.0
763.0,2,3,16,east,yes,133210.0
576.0,1,3,34,east,no,97680.0
2625.0,3,2,21,central,no,401479.0
2551.0,2,1,12,north,yes,388704.0
3617.0,1,3,24,north,yes,521537.0
2812.0,4,3,1,north,no,492374.0
3435.0,2,2,4,south,yes,507210.0
2339.0,3,3,36,central,no,389449.0
3586.0,1,1,29,central,no,515171.0
1555.0,4,3,43,east,no,246012.0
1670.0,5,2,57,central,yes,364251.0
,3,3,15,north,yes,526863.0
1940.0,2,2,47,east,yes,256362.0
1787.0,4,3,26,north,no,325587.0
3849.0,4,2,11,north,no,564460.0
3033.0,3,1,24,north,yes,441380.0
3162.0,1,3,7,west,no,417415.0
1879.0,5,3,8,north,no,381057.0
2803.0,2,2,11,east,yes,439901.0
780.0,1,2,9,south,yes,170365.0
1054.0,2,2,11,south,no,212038.0
2105.0,5,1,8,west,yes,361249.0
1527.0,4,2,15,south,yes,265533.0
2844.0,1,1,18,east,yes,339927.0
3316.0,5,2,1,south,yes,506903.0
2068.0,3,3,9,south,yes,346115.0
2052.0,3,1,23,east,no,272767.0
2607.0,3,3,43,east,yes,434372.0
3838.0,1,2,22,central,yes,563959.0
3419.0,3,1,45,east,no,449301.0
3784.0,5,3,6,central,yes,665139.0
,4,3,1,south,yes,554557.0
1837.0,5,1,37,north,no,318052.0
689.0,3,1,17,west,no,159897.0
3423.0,1,3,55,north,no,454219.0
2090.0,5,3,39,south,yes,359130.0
1436.0,3,2,57,south,no,177364.0
702.0,3,1,40,north,no,152476.0
2621.0,5,3,20,north,no,432365.0
3664.0,1,3,12,west,no,475256.0
3549.0,4,1,55,west,yes,534938.0
2136.0,4,2,12,south,yes,350825.0
2366.0,4,3,10,central,yes,434498.0
3858.0,5,2,23,central,no,626182.0
3708.0,5,1,31,west,yes,513548.0
2743.0,4,3,55,east,yes,435726.0
3260.0,5,1,15,south,no,482083.0
2277.0,1,2,15,east,yes,306168.0
1308.0,5,2,57,north,no,273846.0
3305.0,1,2,34,south,no,456111.0
2997.0,1,3,9,west,no,431494.0
825.0,3,2,51,south,yes,158910.0
574.0,2,3,45,east,yes,108725.0
2648.0,2,3,51,central,yes,424771.0
1763.0,3,3,15,west,no,318254.0
,4,2,34,south,yes,282022.0
868.0,3,3,25,south,yes,170464.0
3284.0,2,1,21,central,yes,497168.0
3335.0,3,3,45,east,no,473069.0
3106.0,5,1,19,west,yes,488933.0
2875.0,2,2,59,west,no,342277.0
754.0,4,2,48,north,yes,171672.0
3533.0,4,3,51,south,yes,488318.0
3040.0,5,1,11,east,yes,474237.0
1986.0,5,3,33,central,yes,409983.0
2140.0,1,2,2,south,no,261063.0
640.0,5,2,10,north,yes,228811.0
1388.0,5,2,41,south,no,221368.0
2010.0,4,2,8,east,yes,358837.0
3177.0,1,3,41,north,yes,481186.0
679.0,1,2,20,north,no,125044.0
765.0,3,3,5,central,no,199532.0
3775.0,5,3,23,west,no,538100.0
1046.0,3,3,59,south,yes,160355.0
1225.0,3,1,38,east,yes,199538.0
,3,2,19,west,yes,384341.0
3486.0,1,1,15,central,no,463621.0
3056.0,1,1,48,south,yes,369551.0
1936.0,5,1,20,north,yes,376081.0
3625.0,3,2,34,east,yes,564928.0
762.0,2,1,15,central,no,186542.0
1605.0,2,3,19,central,yes,327922.0
1211.0,3,3,54,central,yes,253111.0
1144.0,1,2,41,east,no,181483.0
1784.0,4,1,9,west,yes,342814.0
1216.0,1,2,28,central,no,187251.0
2310.0,3,2,52,west,yes,332633.0
3129.0,1,1,23,west,yes,411478.0
2666.0,4,1,36,central,yes,450279.0
3789.0,3,1,25,south,yes,538716.0
3541.0,5,2,45,east,no,509936.0
547.0,5,3,9,east,no,193523.0
2663.0,3,2,1,west,no,445975.0
1606.0,5,2,8,east,yes,297039.0
1449.0,3,3,16,west,no,266183.0
2128.0,5,3,16,east,no,347105.0
1186.0,1,1,10,south,yes,217032.0
582.0,3,2,46,east,yes,106502.0
1347.0,4,3,52,west,no,233549.0
1585.0,1,1,7,east,yes,273154.0
2211.0,1,1,9,west,yes,323260.0
1434.0,4,2,18,north,yes,317351.0
871.0,2,2,45,south,yes,127973.0
,5,1,54,north,yes,424692.0
3687.0,4,3,31,central,no,618267.0
2244.0,4,1,39,west,no,339082.0
3295.0,2,1,7,north,yes,492737.0
3905.0,2,3,24,east,yes,543515.0
2846.0,2,3,31,central,yes,416660.0
3599.0,2,1,40,central,no,471642.0
596.0,2,3,1,central,no,189196.0
2220.0,5,2,10,central,yes,432990.0
2196.0,4,2,25,central,yes,341383.0
2566.0,1,1,24,south,no,338538.0
2441.0,4,1,19,north,no,381793.0
1578.0,4,3,12,north,no,314384.0
1507.0,3,1,9,west,yes,259623.0
1528.0,4,3,11,south,yes,304404.0
3517.0,2,2,17,south,no,438084.0
2150.0,4,2,56,west,yes,296804.0
532.0,4,1,21,central,yes,167433.0
1666.0,2,1,2,west,no,293135.0
3394.0,1,1,55,north,no,409252.0
2261.0,2,3,50,central,no,347427.0
1083.0,4,1,20,north,no,210638.0
3329.0,3,1,14,central,yes,512361.0
,3,2,10,east,no,343975.0
899.0,4,2,6,central,yes,273126.0
772.0,1,2,57,north,yes,126166.0
1528.0,1,3,1,east,yes,269247.0
1188.0,3,3,33,east,yes,214405.0
3594.0,5,1,7,north,yes,571535.0
701.0,5,1,53,south,yes,145476.0
3574.0,1,2,54,east,no,434466.0
1925.0,3,2,27,central,yes,369745.0
2618.0,4,3,30,north,no,405920.0
683.0,1,2,48,south,yes,82017.0
718.0,5,1,15,east,yes,222793.0
654.0,5,2,27,north,no,162436.0
2814.0,3,2,58,west,no,345284.0
,2,3,53,central,no,468593.0
3554.0,5,3,45,east,yes,526881.0
3271.0,4,1,6,north,no,446078.0
3302.0,2,2,17,north,yes,506424.0
,2,3,22,north,no,341183.0
3604.0,5,2,50,east,no,537523.0
3424.0,4,2,15,south,no,466258.0
3706.0,5,1,21,east,no,518397.0
1499.0,2,2,31,west,yes,238265.0
3011.0,5,2,32,central,yes,511492.0
2656.0,4,3,7,north,no,402733.0
2052.0,5,2,23,west,yes,406806.0
3714.0,2,1,38,north,no,470052.0
2790.0,2,1,57,south,yes,365951.0
3269.0,5,3,15,central,no,564661.0
1467.0,2,3,52,north,yes,204825.0
,5,1,13,central,no,605445.0
2770.0,4,2,16,north,no,466064.0
3605.0,5,3,46,east,no,496551.0
2604.0,1,2,52,central,yes,401894.0
2389.0,3,1,31,east,yes,353393.0
1826.0,5,1,38,west,yes,341860.0
2061.0,5,1,30,north,no,311161.0
,1,2,45,east,no,494513.0
988.0,5,2,21,central,yes,256380.0
3669.0,5,1,28,north,yes,554368.0
741.0,3,3,40,east,yes,205887.0
,3,1,1,central,yes,316788.0
,1,1,33,west,no,355419.0
907.0,2,2,5,central,no,196220.0
699.0,5,1,48,west,yes,185354.0
1374.0,1,3,10,west,no,217330.0
686.0,4,3,13,south,yes,185699.0
1630.0,5,1,6,north,no,313277.0
1778.0,1,2,36,east,yes,250976.0
1466.0,1,3,22,east,no,244185.0
1291.0,4,2,38,central,yes,251731.0
2539.0,3,3,44,south,yes,370799.0
501.0,2,3,58,east,yes,88342.0
1828.0,5,3,48,central,yes,376340.0
3108.0,2,2,0,east,yes,450833.0
2934.0,3,3,6,west,yes,462614.0
3919.0,3,2,51,east,no,566821.0
991.0,1,3,10,south,yes,208410.0
3582.0,1,2,54,west,no,431322.0
,4,2,31,north,no,475049.0
1711.0,4,1,2,west,yes,342321.0
,1,3,16,north,no,186513.0
,3,3,40,south,yes,513926.0
3524.0,1,2,11,north,no,487958.0
3610.0,5,1,7,east,no,542622.0
2011.0,3,1,49,east,no,241938.0
1858.0,2,2,49,north,no,266273.0
3971.0,4,1,1,north,no,629475.0
2957.0,1,1,4,north,yes,453657.0
3676.0,1,2,26,south,yes,481706.0
2606.0,2,1,9,east,yes,426631.0
633.0,1,3,23,south,yes,158804.0
,5,1,41,south,yes,196013.0
1787.0,3,1,35,north,yes,224075.0
3226.0,5,3,48,east,yes,476094.0
3328.0,3,3,44,south,yes,453427.0
3401.0,4,2,21,north,yes,550411.0
,1,1,38,east,no,453822.0
3592.0,2,3,36,east,yes,498255.0
2257.0,1,1,11,south,no,285569.0
891.0,2,2,1,west,yes,172792.0
1084.0,4,3,40,west,no,196104.0
1713.0,4,3,42,east,no,261831.0
,5,2,37,south,no,558630.0
2874.0,3,3,38,east,no,448106.0
1859.0,3,3,58,south,yes,327161.0
912.0,3,2,15,east,no,169178.0
1298.0,4,3,5,north,no,257931.0
1205.0,5,1,38,north,yes,275125.0
3420.0,4,1,7,central,no,579167.0
3974.0,2,3,33,central,yes,579758.0
2012.0,2,1,37,north,yes,284811.0
3476.0,5,3,16,south,no,545146.0
2953.0,2,3,45,south,yes,368210.0
3720.0,5,1,18,north,yes,569029.0
1081.0,2,1,54,central,no,154491.0
2104.0,5,1,45,west,no,360210.0
2786.0,2,3,55,east,no,369888.0
1605.0,1,2,13,central,yes,299705.0
542.0,4,3,52,east,no,155973.0
1886.0,2,2,30,central,yes,312283.0
3904.0,5,3,27,east,no,582452.0
3823.0,3,3,48,central,no,529123.0
3258.0,2,3,49,west,no,427137.0
2608.0,1,1,28,north,no,360405.0
3922.0,1,1,12,east,yes,527827.0
726.0,2,3,48,south,no,122528.0
925.0,3,3,36,east,no,200869.0
2939.0,1,1,20,east,yes,433150.0
2234.0,3,1,18,north,no,368950.0
3322.0,3,1,22,central,no,473698.0
932.0,3,3,35,south,no,197184.0
1892.0,2,1,17,north,no,286748.0
3444.0,3,2,45,north,no,452857.0
2109.0,3,2,28,north,no,326625.0
,3,3,54,central,no,421373.0
,4,2,29,east,no,306197.0
1992.0,5,3,5,west,yes,399416.0
500.0,1,1,36,south,yes,70310.0
2129.0,4,2,5,central,no,401376.0
3769.0,4,3,37,west,yes,579602.0
3994.0,5,3,24,central,yes,661172.0
2594.0,3,2,3,east,no,392403.0
1943.0,4,1,27,central,no,335262.0
3785.0,2,1,36,central,yes,543476.0
2247.0,3,1,38,east,no,268411.0
1166.0,1,3,39,south,no,150959.0
2403.0,5,3,59,east,yes,389572.0
,1,2,11,west,no,377210.0
3958.0,2,3,8,central,no,590182.0
885.0,3,1,41,west,yes,138328.0
2335.0,2,1,4,south,no,343334.0
833.0,1,3,53,north,yes,192426.0
1461.0,4,3,11,central,yes,340415.0
2609.0,4,2,58,central,no,358406.0
2478.0,3,3,55,central,no,412456.0
3167.0,4,1,10,north,yes,490748.0
2918.0,1,1,26,north,yes,393478.0
1808.0,5,3,37,west,no,314135.0
790.0,3,2,51,north,no,167562.0
3058.0,1,2,18,west,no,455740.0
3403.0,2,1,24,central,yes,519858.0
2875.0,5,3,7,central,no,525735.0
1505.0,2,1,23,west,yes,225186.0
3894.0,5,1,1,central,yes,643839.0
3885.0,1,2,22,north,yes,555279.0
1871.0,4,2,17,west,no,336615.0
2268.0,2,2,53,east,yes,350158.0
3094.0,3,3,5,north,yes,481350.0
3398.0,4,1,53,north,yes,481062.0
2656.0,1,1,52,west,no,310615.0
2874.0,4,1,51,south,no,405043.0
2269.0,2,3,44,central,yes,396971.0
,2,3,54,east,no,435723.0
3801.0,5,1,47,west,no,543711.0
3859.0,2,2,57,south,no,458034.0
3031.0,4,3,11,north,yes,484725.0
2442.0,3,1,12,north,no,352937.0
575.0,5,2,48,north,yes,130414.0
3219.0,5,1,50,west,no,438629.0
1470.0,2,1,15,central,no,306782.0
3782.0,4,2,59,north,yes,523905.0
848.0,3,2,24,central,no,198695.0
,4,3,16,north,no,423496.0
3087.0,4,1,42,north,yes,455189.0
3353.0,3,2,11,west,yes,478836.0
708.0,5,1,56,east,no,180709.0
,1,1,13,south,yes,79516.0
901.0,2,1,17,east,yes,174770.0
2532.0,4,3,12,north,yes,446668.0
3106.0,1,2,5,central,yes,482028.0
2360.0,2,1,46,east,yes,352700.0
2230.0,3,1,49,west,yes,297794.0
1420.0,2,2,4,south,yes,274638.0
1413.0,5,2,20,central,no,282615.0
3717.0,2,3,19,west,no,524574.0
1626.0,4,2,33,central,no,300367.0
3591.0,4,1,6,south,yes,523757.0
3104.0,1,2,24,north,no,439976.0
1539.0,2,3,3,south,no,253664.0
1281.0,5,1,33,central,no,268270.0
1277.0,4,2,21,west,yes,259936.0
2972.0,5,1,19,east,no,431860.0
700.0,1,1,38,north,yes,132356.0
3928.0,1,3,45,south,no,472865.0
2653.0,4,2,55,south,yes,354961.0
1950.0,3,3,40,south,yes,281490.0
2682.0,1,3,18,south,yes,431202.0
814.0,4,2,39,west,yes,158389.0
940.0,1,3,36,central,yes,193839.0
1767.0,4,3,17,north,yes,314326.0
1441.0,5,3,41,south,yes,279355.0
2420.0,2,1,42,north,no,301816.0
2276.0,1,3,49,east,yes,332129.0
,4,2,12,west,yes,602365.0
1178.0,5,2,16,south,no,193994.0
1024.0,3,2,37,east,no,216438.0
,5,3,47,west,yes,247413.0
,2,3,40,east,no,358058.0
605.0,2,1,34,central,yes,157187.0
743.0,1,2,39,south,yes,161116.0
2127.0,1,2,23,north,no,274567.0
827.0,1,3,59,central,no,154097.0
3615.0,3,3,44,south,no,462052.0
2290.0,5,3,18,central,no,376751.0
522.0,2,3,39,central,no,70949.0
3164.0,2,1,41,west,yes,398171.0
3927.0,3,2,46,south,no,506179.0
3618.0,3,1,42,west,no,457917.0
2102.0,5,3,17,west,no,384287.0
3562.0,3,2,57,north,yes,492531.0
1983.0,2,3,12,south,no,320751.0
1380.0,5,3,17,west,yes,291537.0
2560.0,1,1,12,east,yes,324915.0
3561.0,1,3,57,south,yes,430163.0
935.0,1,1,58,east,yes,134989.0
2732.0,4,3,24,north,yes,424032.0
2372.0,2,3,31,west,yes,402679.0
2512.0,2,2,50,east,yes,345823.0
2074.0,3,2,47,west,yes,275491.0
1904.0,1,1,53,south,yes,246489.0
659.0,5,3,5,west,no,223949.0
,5,1,8,south,no,338535.0
977.0,2,2,3,south,no,162660.0
2650.0,3,3,0,west,yes,453276.0
1707.0,3,1,55,south,yes,266674.0
2290.0,2,1,2,west,yes,369418.0
3793.0,4,3,47,north,yes,526674.0
945.0,2,3,36,central,no,167220.0
2128.0,5,3,3,central,no,447400.0
1058.0,4,3,27,central,yes,280871.0
624.0,5,3,2,west,yes,235738.0
2305.0,3,1,55,south,yes,303422.0
717.0,2,3,4,central,yes,259880.0
3085.0,4,3,59,east,no,453709.0
1852.0,4,3,2,north,no,379621.0
1381.0,4,3,38,central,no,290040.0
3574.0,2,3,16,north,yes,490332.0
2811.0,3,2,45,east,no,387951.0
2331.0,1,3,16,west,yes,357770.0
1517.0,1,1,6,north,yes,237763.0
1531.0,3,2,0,north,no,265844.0
3380.0,2,1,56,north,no,424422.0
1972.0,5,3,56,central,yes,365808.0
1944.0,2,2,18,west,yes,321738.0
812.0,4,3,53,west,yes,159429.0
1177.0,5,1,24,east,no,246361.0
1246.0,5,2,49,east,no,202092.0
708.0,4,2,24,east,no,130714.0
680.0,4,3,17,central,no,212082.0
3874.0,3,3,34,west,no,564703.0
3102.0,5,1,25,east,no,464724.0
3143.0,3,1,21,east,no,422422.0
2998.0,3,2,11,west,no,426267.0
704.0,2,3,16,north,no,182389.0
2089.0,1,3,53,east,yes,282099.0
2004.0,2,3,54,north,no,323078.0
3201.0,4,2,38,east,no,463668.0
2577.0,2,3,41,south,yes,384147.0
1215.0,3,2,38,north,yes,210386.0
909.0,5,1,43,north,yes,179838.0
1021.0,2,1,57,south,yes,149662.0
1909.0,1,3,27,north,no,310465.0
3221.0,1,2,40,east,yes,521397.0
1828.0,2,1,57,north,yes,231305.0
1923.0,2,2,15,south,no,285796.0
2963.0,4,2,37,east,yes,516095.0
3063.0,5,3,53,south,no,441182.0
1768.0,4,3,58,west,no,261597.0
3437.0,2,3,18,west,no,483145.0
3901.0,3,1,8,north,no,514834.0
